               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.032408,            0.026861,            0.019302,             0.94982,             0.91318,             0.94653,             0.64706,            0.031635,            0.011886,           0.0095183,            0.003565,            0.003565,            0.003565
                 132,            0.032204,            0.026754,            0.018983,             0.95003,             0.91322,             0.94653,             0.64746,            0.031627,            0.011885,           0.0095104,           0.0035155,           0.0035155,           0.0035155
                 133,            0.031978,            0.026594,            0.019115,             0.95055,             0.91282,              0.9461,             0.64782,            0.031621,            0.011883,           0.0095016,            0.003466,            0.003466,            0.003466
                 134,            0.032056,            0.026474,            0.018935,             0.95118,             0.91242,             0.94634,             0.64782,            0.031614,            0.011881,           0.0094974,           0.0034165,           0.0034165,           0.0034165
                 135,             0.03217,            0.026762,            0.019107,              0.9514,             0.91178,             0.94583,             0.64785,            0.031611,            0.011879,           0.0094898,            0.003367,            0.003367,            0.003367
                 136,            0.032162,            0.026842,            0.019193,             0.95137,              0.9118,             0.94579,             0.64799,            0.031605,            0.011877,           0.0094832,           0.0033175,           0.0033175,           0.0033175
                 137,            0.032152,            0.026707,             0.01897,             0.95129,             0.91238,             0.94571,             0.64843,            0.031599,            0.011875,           0.0094725,            0.003268,            0.003268,            0.003268
                 138,            0.032061,            0.026846,            0.018973,             0.95152,             0.91235,              0.9457,             0.64839,            0.031591,            0.011874,           0.0094635,           0.0032185,           0.0032185,           0.0032185
                 139,            0.031911,            0.026595,             0.01865,             0.95126,              0.9132,             0.94573,             0.64833,            0.031588,            0.011872,           0.0094559,            0.003169,            0.003169,            0.003169
                 140,            0.032002,             0.02645,            0.018717,             0.95094,              0.9131,             0.94554,             0.64837,            0.031584,            0.011871,           0.0094496,           0.0031195,           0.0031195,           0.0031195
                 141,             0.03201,            0.026713,            0.018953,             0.95068,             0.91348,             0.94565,             0.64882,            0.031578,            0.011868,           0.0094412,             0.00307,             0.00307,             0.00307
                 142,            0.031986,            0.026639,            0.018617,             0.94963,             0.91462,             0.94644,             0.64907,            0.031572,            0.011867,           0.0094358,           0.0030205,           0.0030205,           0.0030205
                 143,            0.031822,            0.026612,            0.018599,             0.95024,             0.91445,             0.94651,             0.64917,             0.03157,            0.011866,           0.0094293,            0.002971,            0.002971,            0.002971
                 144,            0.031739,            0.026163,            0.018604,              0.9505,             0.91442,             0.94661,             0.64961,            0.031569,            0.011865,            0.009421,           0.0029215,           0.0029215,           0.0029215
                 145,            0.031741,            0.026354,            0.018377,             0.95052,             0.91434,              0.9469,             0.64935,            0.031568,            0.011865,            0.009415,            0.002872,            0.002872,            0.002872
                 146,            0.031581,            0.026102,            0.018151,             0.95088,             0.91452,             0.94694,             0.64959,            0.031566,            0.011863,            0.009407,           0.0028225,           0.0028225,           0.0028225
                 147,            0.031737,            0.026168,            0.018406,             0.95036,             0.91463,              0.9471,             0.64979,            0.031566,            0.011863,           0.0094002,            0.002773,            0.002773,            0.002773
                 148,            0.031603,            0.026537,            0.018588,             0.95064,             0.91419,             0.94662,             0.64984,            0.031567,            0.011863,           0.0093938,           0.0027235,           0.0027235,           0.0027235
                 149,            0.031338,            0.026097,            0.018167,             0.94975,             0.91487,             0.94659,             0.64956,            0.031569,            0.011862,            0.009388,            0.002674,            0.002674,            0.002674
                 150,             0.03151,            0.026232,            0.018302,             0.94942,             0.91477,             0.94627,             0.64937,            0.031569,            0.011861,           0.0093814,           0.0026245,           0.0026245,           0.0026245
                 151,            0.031509,             0.02605,            0.018129,             0.94976,             0.91473,             0.94644,             0.64935,            0.031568,            0.011861,           0.0093744,            0.002575,            0.002575,            0.002575
                 152,            0.031227,            0.026061,            0.018081,             0.94958,             0.91465,             0.94582,             0.64954,            0.031572,            0.011862,            0.009363,           0.0025255,           0.0025255,           0.0025255
                 153,            0.031481,            0.026198,            0.018032,              0.9497,             0.91478,              0.9464,             0.64989,            0.031571,            0.011859,           0.0093573,            0.002476,            0.002476,            0.002476
                 154,            0.031026,            0.025847,            0.017756,             0.94914,             0.91449,             0.94584,             0.65024,            0.031567,            0.011862,           0.0093506,           0.0024265,           0.0024265,           0.0024265
                 155,            0.031233,            0.025967,            0.017733,              0.9488,             0.91439,             0.94563,             0.65027,            0.031564,             0.01186,           0.0093429,            0.002377,            0.002377,            0.002377
                 156,            0.031262,            0.026061,            0.018067,             0.94931,              0.9144,             0.94622,             0.65057,            0.031553,            0.011859,           0.0093335,           0.0023275,           0.0023275,           0.0023275
                 157,            0.031081,            0.026001,            0.017745,             0.94962,             0.91475,             0.94645,             0.65088,            0.031544,            0.011859,           0.0093274,            0.002278,            0.002278,            0.002278
                 158,             0.03112,            0.025814,            0.017762,             0.94977,              0.9145,             0.94614,             0.65094,            0.031537,            0.011858,           0.0093231,           0.0022285,           0.0022285,           0.0022285
                 159,            0.031016,            0.025446,            0.017683,             0.94979,             0.91488,              0.9462,             0.65128,             0.03153,            0.011858,           0.0093179,            0.002179,            0.002179,            0.002179
                 160,            0.030981,            0.025552,            0.017576,             0.94947,             0.91536,             0.94634,             0.65147,            0.031521,            0.011858,           0.0093097,           0.0021295,           0.0021295,           0.0021295
